ktestWM foad1.sh-out/Dev-out-39/devtest.ktest foad1.sh-out/Dev-out-41/devtest.ktest foad1.sh-out/Dev-out-43/devtest.ktest foad1.sh-out/Dev-out-45/devtest.ktest foad1.sh-out/Dev-out-47/devtest.ktest foad1.sh-out/Dev-out-49/devtest.ktest status.sh-out/Dev-out-2/devtest.ktest status.sh-out/Dev-out-6/devtest.ktest regression_regression.sh-out/Dev-out-0/devtest.ktest
grep/4649 1 1 1 1 1 1 1 1 1
grep/4318 1 1 1 1 1 1 1 1 1
grep/4319 1 1 1 1 1 1 1 1 1
grep/4868 1 1 1 1 1 1 1 1 1
grep/4869 1 1 1 1 1 1 1 1 1
grep/9072 1 1 1 1 1 1 1 1 1
grep/9073 1 1 1 1 1 1 1 1 1
grep/9074 1 1 1 1 1 1 1 1 1
grep/9075 1 1 1 1 1 1 1 1 1
grep/9076 1 1 1 1 1 1 1 1 1
grep/9077 1 1 1 1 1 1 1 1 1
grep/9078 1 1 1 1 1 1 1 1 1
grep/9079 1 1 1 1 1 1 1 1 1
grep/5922 1 1 1 1 1 1 1 1 1
grep/5923 1 1 1 1 1 1 1 1 1
grep/2027 1 1 1 1 1 1 1 1 1
grep/2021 1 1 1 1 1 1 1 1 1
grep/4867 1 1 1 1 1 1 1 1 1
grep/2018 1 1 1 1 1 1 1 1 1
grep/2013 1 1 1 1 1 1 1 1 1
grep/2011 0 0 0 0 0 0 1 1 1
grep/2010 1 1 1 1 1 1 1 1 1
grep/2017 1 1 1 1 1 1 1 1 1
grep/2016 1 1 1 1 1 1 1 1 1
grep/2015 1 1 1 1 1 1 1 1 1
grep/2014 1 1 1 1 1 1 1 1 1
grep/6259 1 1 1 1 1 1 1 1 1
grep/6255 1 1 1 1 1 1 1 1 1
grep/6254 1 1 1 1 1 1 1 1 1
grep/6256 1 1 1 1 1 1 1 1 1
grep/6251 1 1 1 1 1 1 1 1 1
grep/6250 1 1 1 1 1 1 1 1 1
grep/6253 1 1 1 1 1 1 1 1 1
grep/6252 1 1 1 1 1 1 1 1 1
grep/10284 1 1 1 1 1 1 1 1 1
grep/10285 1 1 1 1 1 1 1 1 1
grep/10286 1 1 1 1 1 1 1 1 1
grep/10287 1 1 1 1 1 1 1 1 1
grep/10280 1 1 1 1 1 1 1 1 1
grep/10281 1 1 1 1 1 1 1 1 1
grep/10282 1 1 1 1 1 1 1 1 1
grep/10283 1 1 1 1 1 1 1 1 1
grep/4862 1 1 1 1 1 1 1 1 1
grep/4770 1 1 1 1 1 1 1 1 1
grep/4771 1 1 1 1 1 1 1 1 1
grep/8493 1 1 1 1 1 1 1 1 1
grep/4997 1 1 1 1 1 1 1 1 1
grep/4774 1 1 1 1 1 1 1 1 1
grep/4991 1 1 1 1 1 1 1 1 1
grep/8024 1 1 1 1 1 1 1 1 1
grep/4776 1 1 1 1 1 1 1 1 1
grep/8025 1 1 1 1 1 1 1 1 1
grep/4777 1 1 1 1 1 1 1 1 1
grep/8026 1 1 1 1 1 1 1 1 1
grep/8027 1 1 1 1 1 1 1 1 1
grep/8498 1 1 1 1 1 1 1 1 1
grep/8020 1 1 1 1 1 1 1 1 1
grep/8021 1 1 1 1 1 1 1 1 1
grep/8022 1 1 1 1 1 1 1 1 1
grep/8023 1 1 1 1 1 1 1 1 1
grep/3960 1 1 1 1 1 1 1 1 1
grep/320 1 1 1 1 1 1 1 1 1
grep/453 1 1 1 1 1 1 1 1 1
grep/450 1 1 1 1 1 1 1 1 1
grep/451 1 1 1 1 1 1 1 1 1
grep/3379 1 1 1 1 1 1 1 1 1
grep/3378 1 1 1 1 1 1 1 1 1
grep/3375 1 1 1 1 1 1 1 1 1
grep/456 1 1 1 1 1 1 1 1 1
grep/3377 1 1 1 1 1 1 1 1 1
grep/3376 1 1 1 1 1 1 1 1 1
grep/3371 1 1 1 1 1 1 1 1 1
grep/3370 1 1 1 1 1 1 1 1 1
grep/3373 1 1 1 1 1 1 1 1 1
grep/457 1 1 1 1 1 1 1 1 1
grep/454 1 1 1 1 1 1 1 1 1
grep/455 1 1 1 1 1 1 1 1 1
grep/240 1 1 1 1 1 1 1 1 1
grep/2923 1 1 1 1 1 1 1 1 0
grep/459 1 1 1 1 1 1 1 1 1
grep/3963 1 1 1 1 1 1 1 1 1
grep/6837 1 1 1 1 1 1 1 1 1
grep/3999 1 1 1 1 1 1 1 1 1
grep/3998 1 1 1 1 1 1 1 1 1
grep/3991 1 1 1 1 1 1 1 1 1
grep/3990 1 1 1 1 1 1 1 1 1
grep/3993 1 1 1 1 1 1 1 1 1
grep/3992 1 1 1 1 1 1 1 1 1
grep/3995 1 1 1 1 1 1 1 1 1
grep/3994 1 1 1 1 1 1 1 1 1
grep/3997 1 1 1 1 1 1 1 1 1
grep/3996 1 1 1 1 1 1 1 1 1
grep/2920 1 1 1 1 1 1 1 1 0
grep/2379 1 1 1 1 1 1 1 1 1
grep/5238 1 1 1 1 1 1 1 1 1
grep/5239 1 1 1 1 1 1 1 1 1
grep/5236 1 1 1 1 1 1 1 1 1
grep/5237 1 1 1 1 1 1 1 1 1
grep/5234 1 1 1 1 1 1 1 1 1
grep/5235 1 1 1 1 1 1 1 1 1
grep/7150 1 1 1 1 1 1 1 1 1
grep/7858 1 1 1 1 1 1 1 1 1
grep/7859 1 1 1 1 1 1 1 1 1
grep/7502 1 1 1 1 1 1 1 1 1
grep/7855 1 1 1 1 1 1 1 1 1
grep/7500 1 1 1 1 1 1 1 1 1
grep/7501 1 1 1 1 1 1 1 1 1
grep/7850 1 1 1 1 1 1 1 1 1
grep/7851 1 1 1 1 1 1 1 1 1
grep/7852 1 1 1 1 1 1 1 1 1
grep/7853 1 1 1 1 1 1 1 1 1
grep/715 1 1 1 1 1 1 1 1 1
grep/714 1 1 1 1 1 1 1 1 1
grep/241 1 1 1 1 1 1 1 1 1
grep/716 1 1 1 1 1 1 1 1 1
grep/2220 1 1 1 1 1 1 1 1 1
grep/246 1 1 1 1 1 1 1 1 1
grep/2222 1 1 1 1 1 1 1 1 1
grep/712 1 1 1 1 1 1 1 1 1
grep/93 1 1 1 1 1 1 1 1 1
grep/92 1 1 1 1 1 1 1 1 1
grep/249 1 1 1 1 1 1 1 1 1
grep/248 1 1 1 1 1 1 1 1 1
grep/719 1 1 1 1 1 1 1 1 1
grep/718 1 1 1 1 1 1 1 1 1
grep/95 1 1 1 1 1 1 1 1 1
grep/94 1 1 1 1 1 1 1 1 1
grep/9489 1 1 1 1 1 1 1 1 1
grep/9488 1 1 1 1 1 1 1 1 1
grep/9481 1 1 1 1 1 1 1 1 1
grep/9480 1 1 1 1 1 1 1 1 1
grep/9483 1 1 1 1 1 1 1 1 1
grep/9482 1 1 1 1 1 1 1 1 1
grep/9485 1 1 1 1 1 1 1 1 1
grep/9484 1 1 1 1 1 1 1 1 1
grep/9487 1 1 1 1 1 1 1 1 1
grep/9486 1 1 1 1 1 1 1 1 1
grep/1041 1 1 1 1 1 1 1 1 1
grep/1043 1 1 1 1 1 1 1 1 1
grep/1042 1 1 1 1 1 1 1 1 1
grep/1045 1 1 1 1 1 1 1 1 1
grep/1047 1 1 1 1 1 1 1 1 1
grep/1048 1 1 1 1 1 1 1 1 1
grep/5900 1 1 1 1 1 1 1 1 1
grep/3576 1 1 1 1 1 1 1 1 1
grep/5902 1 1 1 1 1 1 1 1 1
grep/3574 1 1 1 1 1 1 1 1 1
grep/5904 1 1 1 1 1 1 1 1 1
grep/5905 1 1 1 1 1 1 1 1 1
grep/3571 1 1 1 1 1 1 1 1 1
grep/5907 1 1 1 1 1 1 1 1 1
grep/5908 1 1 1 1 1 1 1 1 1
grep/5909 1 1 1 1 1 1 1 1 1
grep/3579 1 1 1 1 1 1 1 1 1
grep/1597 1 1 1 1 1 1 1 1 1
grep/1596 1 1 1 1 1 1 1 1 1
grep/1595 1 1 1 1 1 1 1 1 1
grep/1594 1 1 1 1 1 1 1 1 1
grep/1593 1 1 1 1 1 1 1 1 1
grep/1592 1 1 1 1 1 1 1 1 1
grep/1263 1 1 1 1 1 1 1 1 1
grep/1590 1 1 1 1 1 1 1 1 1
grep/1269 1 1 1 1 1 1 1 1 1
grep/1268 1 1 1 1 1 1 1 1 1
grep/1599 1 1 1 1 1 1 1 1 1
grep/1598 1 1 1 1 1 1 1 1 1
grep/6066 1 1 1 1 1 1 1 1 1
grep/6067 1 1 1 1 1 1 1 1 1
grep/6064 1 1 1 1 1 1 1 1 1
grep/6065 1 1 1 1 1 1 1 1 1
grep/6062 1 1 1 1 1 1 1 1 1
grep/6063 1 1 1 1 1 1 1 1 1
grep/6060 1 1 1 1 1 1 1 1 1
grep/6061 1 1 1 1 1 1 1 1 1
grep/3684 1 1 1 1 1 1 1 1 1
grep/3681 1 1 1 1 1 1 1 1 1
grep/3680 1 1 1 1 1 1 1 1 1
grep/3683 1 1 1 1 1 1 1 1 1
grep/6069 1 1 1 1 1 1 1 1 1
grep/2761 1 1 1 1 1 1 1 1 1
grep/2812 1 1 1 1 1 1 1 1 1
grep/2763 1 1 1 1 1 1 1 1 1
grep/2762 1 1 1 1 1 1 1 1 1
grep/2765 1 1 1 1 1 1 1 1 1
grep/2764 1 1 1 1 1 1 1 1 1
grep/2767 1 1 1 1 1 1 1 1 1
grep/2766 1 1 1 1 1 1 1 1 1
grep/2769 1 1 1 1 1 1 1 1 1
grep/2768 1 1 1 1 1 1 1 1 1
grep/2819 1 1 1 1 1 1 1 1 1
grep/2818 1 1 1 1 1 1 1 1 1
grep/9046 1 1 1 1 1 1 1 1 1
grep/8681 1 1 1 1 1 1 1 1 1
grep/1869 1 1 1 1 1 1 1 1 1
grep/1868 1 1 1 1 1 1 1 1 1
grep/1867 1 1 1 1 1 1 1 1 1
grep/1866 1 1 1 1 1 1 1 1 1
grep/1862 1 1 1 1 1 1 1 1 1
grep/1861 1 1 1 1 1 1 1 1 1
grep/1860 1 1 1 1 1 1 1 1 1
grep/8051 1 1 1 1 1 1 1 1 1
grep/8050 1 1 1 1 1 1 1 1 1
grep/8053 1 1 1 1 1 1 1 1 1
grep/8052 1 1 1 1 1 1 1 1 1
grep/8055 1 1 1 1 1 1 1 1 1
grep/8054 1 1 1 1 1 1 1 1 1
grep/8057 1 1 1 1 1 1 1 1 1
grep/8056 1 1 1 1 1 1 1 1 1
grep/8059 1 1 1 1 1 1 1 1 1
grep/8058 1 1 1 1 1 1 1 1 1
grep/8509 1 1 1 1 1 1 1 1 1
grep/8508 1 1 1 1 1 1 1 1 1
grep/3538 1 1 1 1 1 1 1 1 1
grep/9904 1 1 1 1 1 1 1 1 1
grep/9673 1 1 1 1 1 1 1 1 1
grep/9906 1 1 1 1 1 1 1 1 1
grep/9907 1 1 1 1 1 1 1 1 1
grep/9901 1 1 1 1 1 1 1 1 1
grep/9674 1 1 1 1 1 1 1 1 1
grep/9903 1 1 1 1 1 1 1 1 1
grep/9908 1 1 1 1 1 1 1 1 1
grep/9909 1 1 1 1 1 1 1 1 1
grep/4338 1 1 1 1 1 1 1 1 1
grep/4339 1 1 1 1 1 1 1 1 1
grep/4330 1 1 1 1 1 1 1 1 1
grep/4331 1 1 1 1 1 1 1 1 1
grep/4332 1 1 1 1 1 1 1 1 1
grep/4333 1 1 1 1 1 1 1 1 1
grep/4334 1 1 1 1 1 1 1 1 1
grep/4335 1 1 1 1 1 1 1 1 1
grep/4336 1 1 1 1 1 1 1 1 1
grep/4337 1 1 1 1 1 1 1 1 1
grep/4626 1 1 1 1 1 1 1 1 1
grep/4627 1 1 1 1 1 1 1 1 1
grep/4624 1 1 1 1 1 1 1 1 1
grep/4625 1 1 1 1 1 1 1 1 1
grep/4622 1 1 1 1 1 1 1 1 1
grep/4623 1 1 1 1 1 1 1 1 1
grep/4620 1 1 1 1 1 1 1 1 1
grep/4621 1 1 1 1 1 1 1 1 1
grep/4628 1 1 1 1 1 1 1 1 1
grep/4629 1 1 1 1 1 1 1 1 1
grep/9016 1 1 1 1 1 1 1 1 1
grep/9017 1 1 1 1 1 1 1 1 1
grep/9014 1 1 1 1 1 1 1 1 1
grep/9015 1 1 1 1 1 1 1 1 1
grep/9012 1 1 1 1 1 1 1 1 1
grep/9013 1 1 1 1 1 1 1 1 1
grep/9010 1 1 1 1 1 1 1 1 1
grep/9011 1 1 1 1 1 1 1 1 1
grep/9018 1 1 1 1 1 1 1 1 1
grep/9019 1 1 1 1 1 1 1 1 1
grep/4230 1 1 1 1 1 1 1 1 1
grep/8208 1 1 1 1 1 1 1 1 1
grep/8209 1 1 1 1 1 1 1 1 1
grep/3917 1 1 1 1 1 1 1 1 1
grep/8759 1 1 1 1 1 1 1 1 1
grep/2789 1 1 1 1 1 1 1 1 1
grep/4587 1 1 1 1 1 1 1 1 1
grep/3918 1 1 1 1 1 1 1 1 1
grep/8206 1 1 1 1 1 1 1 1 1
grep/8207 1 1 1 1 1 1 1 1 1
grep/8200 1 1 1 1 1 1 1 1 1
grep/8201 1 1 1 1 1 1 1 1 1
grep/5579 1 1 1 1 1 1 1 1 1
grep/5578 1 1 1 1 1 1 1 1 1
grep/8202 1 1 1 1 1 1 1 1 1
grep/2782 1 1 1 1 1 1 1 1 1
grep/5570 1 1 1 1 1 1 1 1 1
grep/5573 1 1 1 1 1 1 1 1 1
grep/8203 1 1 1 1 1 1 1 1 1
grep/5575 1 1 1 1 1 1 1 1 1
grep/2837 1 1 1 1 1 1 1 1 1
grep/5577 1 1 1 1 1 1 1 1 1
grep/5576 1 1 1 1 1 1 1 1 1
grep/1678 1 1 1 1 1 1 1 1 1
grep/2836 1 1 1 1 1 1 1 1 1
grep/1672 1 1 1 1 1 1 1 1 1
grep/1673 1 1 1 1 1 1 1 1 1
grep/1676 1 1 1 1 1 1 1 1 1
grep/1677 1 1 1 1 1 1 1 1 1
grep/1674 1 1 1 1 1 1 1 1 1
grep/1675 1 1 1 1 1 1 1 1 1
grep/500 1 1 1 1 1 1 1 1 1
grep/501 1 1 1 1 1 1 1 1 1
grep/502 1 1 1 1 1 1 1 1 1
grep/503 1 1 1 1 1 1 1 1 1
grep/504 1 1 1 1 1 1 1 1 1
grep/505 1 1 1 1 1 1 1 1 1
grep/506 1 1 1 1 1 1 1 1 1
grep/507 1 1 1 1 1 1 1 1 1
grep/508 1 1 1 1 1 1 1 1 1
grep/509 1 1 1 1 1 1 1 1 1
grep/2784 1 1 1 1 1 1 1 1 1
grep/3438 1 1 1 1 1 1 1 1 1
grep/6901 1 1 1 1 1 1 1 1 1
grep/6272 1 1 1 1 1 1 1 1 1
grep/6271 1 1 1 1 1 1 1 1 1
grep/6270 1 1 1 1 1 1 1 1 1
grep/6277 1 1 1 1 1 1 1 1 1
grep/6276 1 1 1 1 1 1 1 1 1
grep/6907 1 1 1 1 1 1 1 1 1
grep/6274 1 1 1 1 1 1 1 1 1
grep/6909 1 1 1 1 1 1 1 1 1
grep/6279 1 1 1 1 1 1 1 1 1
grep/6278 1 1 1 1 1 1 1 1 1
grep/2126 1 1 1 1 1 1 1 1 1
grep/2125 1 1 1 1 1 1 1 1 1
grep/2124 1 1 1 1 1 1 1 1 1
grep/8975 1 1 1 1 1 1 1 1 1
grep/7156 1 1 1 1 1 1 1 1 1
grep/4468 1 1 1 1 1 1 1 1 1
grep/5056 1 1 1 1 1 1 1 1 1
grep/5057 1 1 1 1 1 1 1 1 1
grep/5054 1 1 1 1 1 1 1 1 1
grep/5055 1 1 1 1 1 1 1 1 1
grep/5052 1 1 1 1 1 1 1 1 1
grep/5053 1 1 1 1 1 1 1 1 1
grep/4433 1 1 1 1 1 1 1 1 1
grep/4432 1 1 1 1 1 1 1 1 1
grep/4431 1 1 1 1 1 1 1 1 1
grep/4430 1 1 1 1 1 1 1 1 1
grep/4437 1 1 1 1 1 1 1 1 1
grep/4436 1 1 1 1 1 1 1 1 1
grep/4435 1 1 1 1 1 1 1 1 1
grep/4434 1 1 1 1 1 1 1 1 1
grep/4439 1 1 1 1 1 1 1 1 1
grep/4438 1 1 1 1 1 1 1 1 1
grep/4462 1 1 1 1 1 1 1 1 1
grep/4463 1 1 1 1 1 1 1 1 1
grep/4464 1 1 1 1 1 1 1 1 1
grep/4465 1 1 1 1 1 1 1 1 1
grep/4466 1 1 1 1 1 1 1 1 1
grep/4467 1 1 1 1 1 1 1 1 1
grep/2598 1 1 1 1 1 1 1 1 1
grep/2599 1 1 1 1 1 1 1 1 1
grep/2592 1 1 1 1 1 1 1 1 1
grep/2593 1 1 1 1 1 1 1 1 1
grep/2590 1 1 1 1 1 1 1 1 1
grep/2596 1 1 1 1 1 1 1 1 1
grep/2594 1 1 1 1 1 1 1 1 1
grep/2595 1 1 1 1 1 1 1 1 1
grep/8268 1 1 1 1 1 1 1 1 1
grep/8269 1 1 1 1 1 1 1 1 1
grep/4299 1 1 1 1 1 1 1 1 1
grep/4298 1 1 1 1 1 1 1 1 1
grep/8262 1 1 1 1 1 1 1 1 1
grep/4296 1 1 1 1 1 1 1 1 1
grep/4295 1 1 1 1 1 1 1 1 1
grep/4294 1 1 1 1 1 1 1 1 1
grep/4293 1 1 1 1 1 1 1 1 1
grep/4292 1 1 1 1 1 1 1 1 1
grep/4291 1 1 1 1 1 1 1 1 1
grep/4290 1 1 1 1 1 1 1 1 1
grep/576 1 1 1 1 1 1 1 1 1
grep/571 1 1 1 1 1 1 1 1 1
grep/5214 1 1 1 1 1 1 1 1 1
grep/5215 1 1 1 1 1 1 1 1 1
grep/5216 1 1 1 1 1 1 1 1 1
grep/5217 1 1 1 1 1 1 1 1 1
grep/5746 1 1 1 1 1 1 1 1 1
grep/5211 1 1 1 1 1 1 1 1 1
grep/5212 1 1 1 1 1 1 1 1 1
grep/5213 1 1 1 1 1 1 1 1 1
grep/5748 1 1 1 1 1 1 1 1 1
grep/5749 1 1 1 1 1 1 1 1 1
grep/5218 1 1 1 1 1 1 1 1 1
grep/5219 1 1 1 1 1 1 1 1 1
grep/140 1 1 1 1 1 1 1 1 1
grep/7526 1 1 1 1 1 1 1 1 1
grep/7527 1 1 1 1 1 1 1 1 1
grep/7528 1 1 1 1 1 1 1 1 1
grep/7529 1 1 1 1 1 1 1 1 1
grep/579 1 1 1 1 1 1 1 1 1
grep/578 1 1 1 1 1 1 1 1 1
grep/143 1 1 1 1 1 1 1 1 1
grep/1067 1 1 1 1 1 1 1 1 1
grep/1066 1 1 1 1 1 1 1 1 1
grep/1065 1 1 1 1 1 1 1 1 1
grep/1063 1 1 1 1 1 1 1 1 1
grep/1062 1 1 1 1 1 1 1 1 1
grep/1061 1 1 1 1 1 1 1 1 1
grep/1060 1 1 1 1 1 1 1 1 1
grep/261 1 1 1 1 1 1 1 1 1
grep/260 1 1 1 1 1 1 1 1 1
grep/263 1 1 1 1 1 1 1 1 1
grep/262 1 1 1 1 1 1 1 1 1
grep/265 1 1 1 1 1 1 1 1 1
grep/264 1 1 1 1 1 1 1 1 1
grep/267 1 1 1 1 1 1 1 1 1
grep/266 1 1 1 1 1 1 1 1 1
grep/6596 1 1 1 1 1 1 1 1 1
grep/6597 1 1 1 1 1 1 1 1 1
grep/6594 1 1 1 1 1 1 1 1 1
grep/6595 1 1 1 1 1 1 1 1 1
grep/3519 1 1 1 1 1 1 1 1 1
grep/3518 1 1 1 1 1 1 1 1 1
grep/6590 1 1 1 1 1 1 1 1 1
grep/6591 1 1 1 1 1 1 1 1 1
grep/3511 1 1 1 1 1 1 1 1 1
grep/3510 1 1 1 1 1 1 1 1 1
grep/3513 1 1 1 1 1 1 1 1 1
grep/3512 1 1 1 1 1 1 1 1 1
grep/5966 1 1 1 1 1 1 1 1 1
grep/5967 1 1 1 1 1 1 1 1 1
grep/5964 1 1 1 1 1 1 1 1 1
grep/5965 1 1 1 1 1 1 1 1 1
grep/5962 1 1 1 1 1 1 1 1 1
grep/5963 1 1 1 1 1 1 1 1 1
grep/5960 1 1 1 1 1 1 1 1 1
grep/5961 1 1 1 1 1 1 1 1 1
grep/5968 1 1 1 1 1 1 1 1 1
grep/5969 1 1 1 1 1 1 1 1 1
grep/1249 1 1 1 1 1 1 1 1 0
grep/1248 1 1 1 1 1 1 1 1 0
grep/1242 1 1 1 1 1 1 1 1 1
grep/1247 1 1 1 1 1 1 1 1 0
grep/1246 1 1 1 1 1 1 1 1 0
grep/1245 1 1 1 1 1 1 1 1 0
grep/1244 1 1 1 1 1 1 1 1 0
grep/199 1 1 1 1 1 1 1 1 1
grep/198 1 1 1 1 1 1 1 1 1
grep/197 1 1 1 1 1 1 1 1 1
grep/196 1 1 1 1 1 1 1 1 1
grep/195 1 1 1 1 1 1 1 1 1
grep/194 1 1 1 1 1 1 1 1 1
grep/193 1 1 1 1 1 1 1 1 1
grep/192 1 1 1 1 1 1 1 1 1
grep/191 1 1 1 1 1 1 1 1 1
grep/190 1 1 1 1 1 1 1 1 1
grep/4795 1 1 1 1 1 1 1 1 1
grep/10187 1 1 1 1 1 1 1 1 1
grep/10186 1 1 1 1 1 1 1 1 1
grep/10185 1 1 1 1 1 1 1 1 1
grep/10184 1 1 1 1 1 1 1 1 1
grep/10183 1 1 1 1 1 1 1 1 1
grep/10182 1 1 1 1 1 1 1 1 1
grep/10181 1 1 1 1 1 1 1 1 1
grep/10180 1 1 1 1 1 1 1 1 1
grep/10189 1 1 1 1 1 1 1 1 1
grep/10188 1 1 1 1 1 1 1 1 1
grep/2608 1 1 1 1 1 1 1 1 1
grep/2609 1 1 1 1 1 1 1 1 1
grep/2602 1 1 1 1 1 1 1 1 1
grep/2603 1 1 1 1 1 1 1 1 1
grep/2601 1 1 1 1 1 1 1 1 1
grep/2606 1 1 1 1 1 1 1 1 1
grep/2607 1 1 1 1 1 1 1 1 1
grep/2604 1 1 1 1 1 1 1 1 1
grep/2605 1 1 1 1 1 1 1 1 1
grep/6738 1 1 1 1 1 1 1 1 1
grep/6739 1 1 1 1 1 1 1 1 1
grep/6048 1 1 1 1 1 1 1 1 1
grep/6049 1 1 1 1 1 1 1 1 1
grep/6044 1 1 1 1 1 1 1 1 1
grep/6045 1 1 1 1 1 1 1 1 1
grep/6046 1 1 1 1 1 1 1 1 1
grep/6047 1 1 1 1 1 1 1 1 1
grep/6040 1 1 1 1 1 1 1 1 1
grep/6041 1 1 1 1 1 1 1 1 1
grep/6042 1 1 1 1 1 1 1 1 1
grep/6043 1 1 1 1 1 1 1 1 1
grep/9847 1 1 1 1 1 1 1 1 1
grep/2463 1 1 1 1 1 1 1 1 1
grep/2747 1 1 1 1 1 1 1 1 1
grep/857 1 1 1 1 1 1 1 1 1
grep/854 1 1 1 1 1 1 1 1 1
grep/855 1 1 1 1 1 1 1 1 1
grep/852 1 1 1 1 1 1 1 1 1
grep/853 1 1 1 1 1 1 1 1 1
