ktestWM inum.new-O0-out/Dev-out-0/devtest.ktest inum.new-O1-out/Dev-out-0/devtest.ktest inum.new-O2-out/Dev-out-0/devtest.ktest inum.new-O3-out/Dev-out-0/devtest.ktest inum.old-O0-out/Dev-out-0/devtest.ktest inum.old-O1-out/Dev-out-0/devtest.ktest inum.old-O2-out/Dev-out-0/devtest.ktest inum.old-O3-out/Dev-out-0/devtest.ktest links.new-O0-out/Dev-out-0/devtest.ktest links.new-O1-out/Dev-out-0/devtest.ktest links.new-O2-out/Dev-out-0/devtest.ktest links.new-O3-out/Dev-out-0/devtest.ktest links.old-O0-out/Dev-out-0/devtest.ktest links.old-O1-out/Dev-out-0/devtest.ktest links.old-O2-out/Dev-out-0/devtest.ktest links.old-O3-out/Dev-out-0/devtest.ktest regression.sh-out/Dev-out-0/devtest.ktest
find/6235 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/10050 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6236 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/10051 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6237 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/10052 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6230 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/10053 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6231 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2229 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2228 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2072 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2073 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2070 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2071 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2076 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2077 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2074 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2075 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/2078 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24779 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/23527 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6915 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6914 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6917 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6916 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6911 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6910 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6913 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6912 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/23525 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6919 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6918 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21334 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24956 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24773 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24954 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24955 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24952 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24953 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20579 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24950 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20570 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20571 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20572 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20573 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20574 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20575 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20576 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20577 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/23009 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/23008 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/22692 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/17839 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/23007 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/23006 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/17838 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/22697 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18478 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18479 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18476 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18477 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18474 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18475 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18472 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18473 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18470 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18471 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1257 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1256 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1255 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1254 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1253 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1251 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1250 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1259 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1258 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/8222 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/22698 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16743 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/5936 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/5937 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/5934 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/5935 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/699 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/698 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/9963 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/5931 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/9968 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/18692 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18693 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1039 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/1038 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/18696 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18697 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18694 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/18695 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1032 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/1031 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/18699 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/1036 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/1035 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/16997 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16838 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/8224 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16839 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3093 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3092 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3091 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3090 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3097 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3096 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3095 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3094 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3099 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/3098 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16915 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7963 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7962 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7961 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7960 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7967 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7966 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7965 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7964 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16913 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7969 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/8227 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16836 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16837 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16911 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16910 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21924 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21925 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21926 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21927 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21920 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21921 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21922 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21923 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21928 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/21929 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20719 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/19945 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/19944 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16918 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/19947 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/19946 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15679 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15678 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15675 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15674 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15673 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15672 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15671 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15670 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13781 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13780 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13783 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13782 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13785 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13784 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7349 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7348 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7347 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7346 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7345 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7344 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7343 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7342 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7341 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/7340 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/14671 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12788 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12789 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12782 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12783 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12780 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12781 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12786 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12787 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12784 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12785 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16098 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16099 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13454 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16092 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16093 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16090 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16091 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16096 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16097 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16094 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16095 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/25128 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/25129 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13451 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13102 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/14030 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13453 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/13452 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/25024 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12984 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/16401 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12986 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15927 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15926 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15925 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12455 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15923 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15922 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15921 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15920 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16324 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12980 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16321 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15929 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12981 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/25123 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
find/25124 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12983 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/25125 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/25127 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20800 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20387 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20385 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20384 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20383 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20382 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20381 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20389 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20388 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/24759 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/12459 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20801 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16294 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16296 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16297 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16290 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6769 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6766 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6764 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/6765 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/16298 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20962 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20961 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20960 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20967 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20966 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20969 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/20968 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15075 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/15074 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15076 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/15071 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/15070 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15073 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/15072 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
find/11978 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/11979 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/11970 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/11971 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/11972 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/11973 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/11974 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
find/11975 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
